iter loss z0 z1 z2 z3 z4 z5 z6 z7 z8 z9 z10 z11 z12 z13 z14 z15 z16 z17 z18 z19 z20 z21 z22 z23 z24 z25 z26 z27 z28 z29 z30 z31 z32 z33 z34 z35 z36 z37 z38 z39 z40 z41 z42 z43 z44 z45 z46 z47 z48 z49 z50 z51 z52 z53 z54 z55 z56 z57 z58 z59 z60 z61 z62 z63 z64 z65 z66 z67 z68 z69 z70 z71 z72 z73 z74 z75 z76 z77 z78 z79 z80 z81 z82 z83 z84 z85 z86 z87 z88 z89 z90 z91 z92 z93 z94 z95 z96 z97 z98 z99
0 5121.765625 -6.580580552777641756e-01 9.630557283041347727e-01 5.946869614694529904e-01 1.537422739017448858e-01 -2.316678455925937907e-01 -7.132007207141619620e-01 -2.539221831161768694e-01 -2.641680725810673369e-01 -1.584636845721418830e-01 -1.751891095480444527e-01 -8.760716125222116624e-01 -8.593311334795195044e-02 1.732762564889818169e-01 -1.874438219210781131e-01 -4.691463949852847648e-01 1.870682291560581412e-01 -3.002173719971805710e-01 1.125111054270426791e-01 7.180753126059058467e-01 6.471986437965402406e-01 -9.524898462123325693e-01 -6.529720717571541044e-02 1.792613727876148921e-01 -4.203059410784983907e-01 3.712050658555392513e-01 7.017708567420386512e-01 9.154629869062236303e-01 1.525779080256264297e-01 -1.802080008134308020e-01 1.575482519464446174e-01 -2.851654807994690177e-01 9.289241487290134103e-02 -1.931943065568870743e-01 -7.836688156093698510e-01 -2.334723824197704189e-01 -8.246702965258103646e-01 -3.966666546562924722e-02 5.166787786301116903e-01 4.696771210669439256e-01 1.080628994567329748e-01 -8.473473171453098640e-01 1.092782050073211053e-01 -2.571881272599281232e-01 2.443446237315907155e-01 -9.612708109483187879e-01 2.323105578240558522e-02 9.618308299426914232e-01 7.868737142708579491e-01 9.092545743007285353e-02 2.795018122032284502e-01 -7.206046512834265449e-01 -4.302819065588132652e-01 -7.574854293529609262e-01 -6.207659529886380145e-01 -5.650005133616118336e-01 -2.952896204329504837e-01 3.387159540726440987e-01 6.348862593941140275e-02 4.657110297731585913e-01 -5.159914465869157585e-01 8.801601339724347550e-01 -2.432338651106391580e-02 -4.433087515242346566e-01 7.202890510667443458e-01 -5.644059947407320532e-01 6.993180628703843382e-01 -2.270835141428944048e-01 7.797321942451009846e-01 -8.691534919181180818e-01 -8.661978008033224263e-01 -7.764833402189272871e-01 -6.304781113799506898e-04 8.800406754632807971e-01 1.865396636715523915e-01 -6.907179701064294353e-01 1.735755904041464959e-01 5.098193661063652460e-01 3.361938558573049907e-01 5.256677743490900667e-01 -1.518693374543627073e-01 -4.774685467757466828e-01 5.995830514896469676e-01 9.411277466440848283e-01 7.247036150775729713e-01 7.127698774271800097e-01 4.039150936201358899e-01 9.241697957331915791e-01 3.829278807905733828e-01 2.611798205203521572e-01 2.391185827643860229e-02 -9.657783831022423993e-01 -9.917157638174864953e-01 9.330358168433705579e-02 9.304212835808185478e-01 5.932908955540168172e-01 5.671854862040226486e-02 -3.619875101698493136e-01 6.039716428498065337e-01 3.662861653559470465e-01 1.865635514578809495e-01
1 5121.41064453 -6.680580550542467577e-01 9.730557290119399294e-01 5.846869607616478337e-01 1.437422769192300276e-01 -2.416678407124634997e-01 -7.032007209376793799e-01 -2.639221828926594515e-01 -2.741680723575499190e-01 -1.684636843486244651e-01 -1.651891097715618706e-01 -8.660716174023419534e-01 -9.593311312443453254e-02 1.632762567124992348e-01 -1.774438230759181057e-01 -4.791463947617673469e-01 1.970682298638632979e-01 -2.902173722206979889e-01 1.025111065818826717e-01 7.280753123823884287e-01 6.571986435730228227e-01 -9.424898464358499872e-01 -5.529721578113599989e-02 1.892613734954200488e-01 -4.303059417863035474e-01 3.612050660790566692e-01 7.117708555871986587e-01 9.054629908550313466e-01 1.425779082491438476e-01 -1.702080019682707945e-01 1.475482540326071845e-01 -2.751654884735670326e-01 1.028924146493839231e-01 -1.831943067804044922e-01 -7.736688158328872689e-01 -2.234723854372555607e-01 -8.346702963022929467e-01 -2.966666475782409051e-02 5.266787784065942724e-01 4.596771212904613435e-01 1.180628992332155569e-01 -8.573473178531150207e-01 1.192782057151262620e-01 -2.471881284147681157e-01 2.543446225767507229e-01 -9.712708107248013700e-01 1.323105507460042851e-02 9.718308297191740053e-01 7.968737140473405312e-01 1.009254572065554356e-01 2.895018119797110323e-01 -7.106046515069439629e-01 -4.402819054039732727e-01 -7.674854291294435082e-01 -6.307659527651205966e-01 -5.750005112754492664e-01 -3.052896127588524688e-01 3.287159542961615166e-01 7.348862571589398485e-02 4.757110286183185988e-01 -5.259914463633983406e-01 8.901601328175947625e-01 -1.432339139119420679e-02 -4.533087513007172387e-01 7.302890499119043533e-01 -5.744059945172146353e-01 7.093180635781894949e-01 -2.370835129880544123e-01 7.897321902962932683e-01 -8.591535079741192682e-01 -8.761978005798050084e-01 -7.864833399954098692e-01 9.369521665102631403e-03 8.900406752397633792e-01 1.965396625167123990e-01 -6.807179703299468532e-01 1.635755906276639138e-01 5.198193630888801042e-01 3.461938547024649981e-01 5.356677741255726488e-01 -1.418693376778801252e-01 -4.874685465522292649e-01 5.895830517131643855e-01 9.511277464205674104e-01 7.147036208890258369e-01 7.227698772036625918e-01 3.939150994315887555e-01 9.341697945783515866e-01 3.929278805670559649e-01 2.711798212281573139e-01 3.391185712159860977e-02 -9.757783838100475560e-01 -9.817157640410039132e-01 8.330358190785447370e-02 9.204212838043359657e-01 6.032908953304993993e-01 6.671854839688484695e-02 -3.519875094620441569e-01 6.139716416949665412e-01 3.762861651324296286e-01 1.765635516813983674e-01
2 5121.0703125 -6.780714276915782435e-01 9.830665554133524164e-01 5.746734940607363118e-01 1.435811594671496660e-01 -2.417471801116988228e-01 -6.933896716104250846e-01 -2.731723292295129557e-01 -2.836283483503010405e-01 -1.784752232118065329e-01 -1.552221132731559372e-01 -8.608139559479623948e-01 -1.059346998745842594e-01 1.532750294528633095e-01 -1.679978466099776302e-01 -4.890554909357094360e-01 2.070173067846110548e-01 -2.802054505839377541e-01 9.270192921300335342e-02 7.380347381595853129e-01 6.667654954646000665e-01 -9.326000584415248262e-01 -5.686186541333659861e-02 1.992241371327243549e-01 -4.402058420811438832e-01 3.512243037016753444e-01 7.217441878730797011e-01 8.966756028730205053e-01 1.325643307208459465e-01 -1.610218523934545676e-01 1.375376548739029037e-01 -2.808632301124360797e-01 1.128461947491334882e-01 -1.732856008306211670e-01 -7.636978528316360482e-01 -2.144644649261886471e-01 -8.446376159696322716e-01 -1.979607784101977686e-02 5.366800783093910177e-01 4.496683894335191667e-01 1.280583737133080824e-01 -8.672750581736783371e-01 1.292510444000427583e-01 -2.372652021005929868e-01 2.609513685760571633e-01 -9.812805838003819670e-01 3.325610616473406722e-03 9.818394349162460344e-01 8.067746648740450333e-01 1.108761155130348897e-01 2.995053973481058840e-01 -7.006254220865204552e-01 -4.501028667973892006e-01 -7.772857412387350617e-01 -6.407324882588520953e-01 -5.838073359595923328e-01 -3.134897636733426918e-01 3.187171996979611954e-01 8.348855750582862001e-02 4.856790728546209746e-01 -5.359327001745193275e-01 9.000447594222114045e-01 -4.657206496453625277e-03 -4.632283071584948342e-01 7.399094481949091140e-01 -5.843708666688278708e-01 7.193183278502832678e-01 -2.468644629010197100e-01 7.857946497204313374e-01 -8.514344010019017084e-01 -8.861797420115657964e-01 -7.964627370538968076e-01 1.931723792356887515e-02 9.000042835866428614e-01 2.048786550006262974e-01 -6.707654046748345866e-01 1.535895811788972054e-01 5.298183672815304224e-01 3.539170674102527503e-01 5.456408726494874628e-01 -1.318570463060577680e-01 -4.971903695888999497e-01 5.795930431652622783e-01 9.611332335496596269e-01 7.055192948438107070e-01 7.327824731179668483e-01 3.851292444065357312e-01 9.441074478963991101e-01 4.029317360189974551e-01 2.811865684366929852e-01 4.390876397581089385e-02 -9.857884726039809475e-01 -9.717717665535781091e-01 7.329005280833045255e-02 9.104570533339766403e-01 6.132124134849417096e-01 7.664268822437469986e-02 -3.420473005948518885e-01 6.238749534243976935e-01 3.862970977046156218e-01 1.665703077188720460e-01
3 5120.73828125 -6.880701413115852816e-01 9.930642352653016314e-01 5.647604155514651669e-01 1.382820383257159502e-01 -2.468688950128778981e-01 -6.837574725390773711e-01 -2.825448858116061945e-01 -2.901387848851826323e-01 -1.884943216203267546e-01 -1.453568740105750656e-01 -8.533436476106017743e-01 -1.159419257829232830e-01 1.433168199829488731e-01 -1.584412159836567913e-01 -4.990061073326730323e-01 2.170050307982376303e-01 -2.703152388378411430e-01 8.280146360536022598e-02 7.479716585267666140e-01 6.760015993196735185e-01 -9.226952789477160799e-01 -5.908872474446758005e-02 2.091732699328265888e-01 -4.499015852917576108e-01 3.412723471315268764e-01 7.317518133188032348e-01 8.902796324018171781e-01 1.225638960167210190e-01 -1.518165473759236495e-01 1.275106234596921073e-01 -2.885990934404161212e-01 1.227655093943642584e-01 -1.633823673322862824e-01 -7.538721239979606636e-01 -2.056574735353047245e-01 -8.546071382148605622e-01 -1.005014006892457346e-02 5.466486533995609243e-01 4.396712516113083780e-01 1.380133505625660284e-01 -8.771335472102383957e-01 1.392486571967666009e-01 -2.281483745902956883e-01 2.691257237178756867e-01 -9.911712630704110349e-01 -6.268800041409283708e-03 9.918699485455633180e-01 8.167410299357453773e-01 1.208526571365080571e-01 3.095084108844399218e-01 -6.910103621445133903e-01 -4.596497017728702339e-01 -7.870470290695050775e-01 -6.501893276713028857e-01 -5.930443534421114826e-01 -3.197526514082624782e-01 3.086917338369983277e-01 9.341193923674273591e-02 4.955793345026202612e-01 -5.459165126333325180e-01 9.097961119037554223e-01 4.635471479737418576e-03 -4.731670119397290986e-01 7.483870224092483703e-01 -5.942714198207930121e-01 7.293274313049327162e-01 -2.567584334650274691e-01 7.852067995516183174e-01 -8.430129706376505716e-01 -8.961924822808691182e-01 -8.064435646238583555e-01 2.929835140956082995e-02 9.100096449871875048e-01 2.122716691522292809e-01 -6.612961945046251788e-01 1.437967997439439927e-01 5.332740999977778618e-01 3.618728709461314086e-01 5.556123683672513636e-01 -1.218254877328117658e-01 -5.068416682236078774e-01 5.696122239772039020e-01 9.711572111571482591e-01 6.988622737236200866e-01 7.427331416689946231e-01 3.797836446806932553e-01 9.539886723796506818e-01 4.129202572447479014e-01 2.912030461034882389e-01 5.383219972343433746e-02 -9.958201336227101574e-01 -9.618543154848191445e-01 6.326422652553120862e-02 9.005011954535631080e-01 6.230130878787147886e-01 8.658426054781620529e-02 -3.321810638857936038e-01 6.338447308520114287e-01 3.962848794602418234e-01 1.565483305922736879e-01
4 5120.40771484 -6.981056105083220942e-01 1.000000000000000000e+00 5.548783202816063298e-01 1.310694935343155176e-01 -2.536441624350771473e-01 -6.748033936486941275e-01 -2.921312395978958865e-01 -2.970682043542709483e-01 -1.984829220084960433e-01 -1.356215207195403671e-01 -8.458422815280228768e-01 -1.259232227394624370e-01 1.333043507285147644e-01 -1.487128802082218204e-01 -5.089685552516245437e-01 2.270393768199494566e-01 -2.604476461231142181e-01 7.316428102691574509e-02 7.579583208326581278e-01 6.849592526260981362e-01 -9.128023505336693155e-01 -5.433892373457416269e-02 2.191113013678394061e-01 -4.592965867478990827e-01 3.312848512919310817e-01 7.417605442444228370e-01 8.858743061918548101e-01 1.125355756520669548e-01 -1.471721692875089804e-01 1.178477801503492461e-01 -2.970106154637959239e-01 1.326191033994721380e-01 -1.536154822528428276e-01 -7.443787990923267373e-01 -1.969055354157740467e-01 -8.644387250675302781e-01 -1.980911279679808956e-04 5.565915631022195775e-01 4.298487935825150430e-01 1.480246100289757116e-01 -8.870045662607173309e-01 1.492696406021778444e-01 -2.187360272512020032e-01 2.775874421653821145e-01 -1.000000000000000000e+00 -1.594835500303104503e-02 1.000000000000000000e+00 8.267473124143163155e-01 1.306905397297821736e-01 3.193846835255622629e-01 -6.815345554165079811e-01 -4.692650643947140487e-01 -7.968601654906490861e-01 -6.583751650891438434e-01 -6.025356927680163288e-01 -3.251679229102506508e-01 2.986689585669535241e-01 1.032053455891435156e-01 5.053122672862835341e-01 -5.558773484329073700e-01 9.177330906164333779e-01 1.262161471112932531e-02 -4.831140101484903138e-01 7.540706587020635787e-01 -6.040691409906819853e-01 7.393618238927732733e-01 -2.666317230799433169e-01 7.820814958938928640e-01 -8.340548851975513323e-01 -9.062408288748451390e-01 -8.163332669365066518e-01 3.911367737007775958e-02 9.198875697945572139e-01 2.200668339794866757e-01 -6.518305820335215106e-01 1.340198330976303254e-01 5.300734667792659227e-01 3.698981613906247023e-01 5.654807731952633532e-01 -1.117799332439144422e-01 -5.163225311018708741e-01 5.596544941384153926e-01 9.809477676624707154e-01 6.908945986188828048e-01 7.526916109779073771e-01 3.739809886224711999e-01 9.636998308415194447e-01 4.229009441850006823e-01 3.012446974194753491e-01 6.382435403854835876e-02 -1.000000000000000000e+00 -9.522394548458430474e-01 5.322668513606587659e-02 8.906408717115310569e-01 6.328625915150749570e-01 9.658809085404818084e-02 -3.222274430422042979e-01 6.434735473597681388e-01 4.063127835237050345e-01 1.467023054457297082e-01
5 5120.09521484 -7.081840239202970011e-01 1.000000000000000000e+00 5.450040956188255681e-01 1.233741371503958018e-01 -2.614620631746873425e-01 -6.660324556173187194e-01 -3.018818824116380473e-01 -2.988982271363582743e-01 -2.084742073996479483e-01 -1.258145552417757607e-01 -8.374792236687809144e-01 -1.358021701390190739e-01 1.234831015564232803e-01 -1.388892626828230892e-01 -5.188651838102602554e-01 2.370081912600210394e-01 -2.505887035324603218e-01 6.355911266197367127e-02 7.679850775067094126e-01 6.938230900842914384e-01 -9.032179627693346369e-01 -5.338590279916166637e-02 2.290812697165809375e-01 -4.682360857833767209e-01 3.212682199569110164e-01 7.517238536367558677e-01 8.793344403292766565e-01 1.024751516669433204e-01 -1.408364591121735732e-01 1.080846129106236564e-01 -3.055094759869005916e-01 1.422105086794065443e-01 -1.437247070565885743e-01 -7.353613278682571419e-01 -1.893129244009310597e-01 -8.742997528894287385e-01 9.716723366582247223e-03 5.665308415781598050e-01 4.201401506229203164e-01 1.580834423838193281e-01 -8.968934816057900772e-01 1.593410495370690683e-01 -2.093368162170232694e-01 2.865509208945109521e-01 -1.000000000000000000e+00 -2.577860913309648616e-02 1.000000000000000000e+00 8.367988255050460289e-01 1.403045668350539898e-01 3.292696742773055796e-01 -6.722329600266649940e-01 -4.758020724939719948e-01 -8.065496790845612107e-01 -6.661565211965874145e-01 -6.119393657686500454e-01 -3.312353847100808490e-01 2.886195549218553147e-01 1.130532995047395239e-01 5.150736706010528021e-01 -5.658401968205659660e-01 9.231770123947844464e-01 1.390732822637374966e-02 -4.927861005596765320e-01 7.592567107636809531e-01 -6.137104279077127966e-01 7.494337683381449011e-01 -2.764916565978166041e-01 7.760347089895578421e-01 -8.247229398676467760e-01 -9.163293778703995862e-01 -8.259162595796245565e-01 4.868765201670566256e-02 9.297273103763676882e-01 2.284361316999785618e-01 -6.427225862551992908e-01 1.241319226496155892e-01 5.252414961099367563e-01 3.786022164913040999e-01 5.752930909838642748e-01 -1.017202273084958364e-01 -5.254071413703444993e-01 5.497871361169772708e-01 9.905179797658971719e-01 6.830704440481840667e-01 7.626812917002632197e-01 3.700738794773961171e-01 9.733827767486353810e-01 4.329234642726600413e-01 3.112878323323238217e-01 7.383905008525837310e-02 -1.000000000000000000e+00 -9.429952317205640977e-01 4.320434945027629148e-02 8.808846214045671363e-01 6.424891747112977392e-01 1.066501847005481007e-01 -3.122504767356371058e-01 6.532497186566030845e-01 4.163491933562422087e-01 1.370682036823620553e-01
6 5119.80224609 -7.182746972626441462e-01 1.000000000000000000e+00 5.352426140729600323e-01 1.149935685641059191e-01 -2.698793398402556942e-01 -6.571726051510673461e-01 -3.117496576655895968e-01 -2.988779697043881800e-01 -2.184096022604520293e-01 -1.159012103742482758e-01 -8.293163983004361306e-01 -1.457252026239677090e-01 1.135843141920596100e-01 -1.289421322262562786e-01 -5.287418289804124427e-01 2.468202575915268149e-01 -2.408676162406235832e-01 5.478728242357178146e-02 7.780447871674183169e-01 7.028540459279188912e-01 -8.937360763675621378e-01 -5.698535837927698466e-02 2.390168256961904270e-01 -4.766616437692785535e-01 3.112310324700240383e-01 7.613639587054394919e-01 8.721249777499369138e-01 9.242332937711883467e-02 -1.342892260223689238e-01 9.818642066138516533e-02 -3.144817445384886501e-01 1.516856280913518873e-01 -1.337454226881331643e-01 -7.272842232923251160e-01 -1.858176151318753355e-01 -8.839571414424520768e-01 1.945015161385521552e-02 5.764907125275473554e-01 4.104751969366233766e-01 1.681181041238839491e-01 -9.067345688800434456e-01 1.694608108773891786e-01 -1.997716053158224980e-01 2.958305445221736107e-01 -1.000000000000000000e+00 -3.572597521427467449e-02 1.000000000000000000e+00 8.468398649421016167e-01 1.498367837714038586e-01 3.389627045452594523e-01 -6.629188681505158165e-01 -4.772329052748696121e-01 -8.159173182834604798e-01 -6.738261679551735828e-01 -6.166785604114024544e-01 -3.335875008739008774e-01 2.785293518974083504e-01 1.229983037518684874e-01 5.248209429583974295e-01 -5.749145038673966202e-01 9.256204095796183307e-01 1.188716639462228386e-02 -5.024994243465312760e-01 7.643611980598747913e-01 -6.232982047548965010e-01 7.595483720140467909e-01 -2.862391990387078700e-01 7.687823375852378405e-01 -8.152271870040608270e-01 -9.264627085806318441e-01 -8.354195673319357862e-01 5.767994586629310305e-02 9.395233207066870929e-01 2.373407201087467389e-01 -6.337332344536250606e-01 1.142524443961914216e-01 5.219176689382385437e-01 3.877415121587139968e-01 5.850539802085723551e-01 -9.163384643189509404e-02 -5.345313095651749169e-01 5.400007184091764056e-01 9.999707632685355119e-01 6.775413132391749915e-01 7.727161555373265323e-01 3.664348343059564694e-01 9.832227306033154424e-01 4.429641041723311190e-01 3.213819515681970440e-01 8.386408474386919387e-02 -1.000000000000000000e+00 -9.341061535579535668e-01 3.321941940437356244e-02 8.712040131171134849e-01 6.519358980979430562e-01 1.167672992221111539e-01 -3.024007579637622012e-01 6.631618984395897254e-01 4.264286908276939680e-01 1.275651464558233972e-01
7 5119.51611328 -7.283658949396007998e-01 1.000000000000000000e+00 5.262252834785992039e-01 1.061280659011492045e-01 -2.783385921455845402e-01 -6.484076620431047377e-01 -3.217291273672373553e-01 -2.964375741722122815e-01 -2.283615299596006842e-01 -1.058916934123756981e-01 -8.206699799599319611e-01 -1.557019444817944187e-01 1.038238086722522713e-01 -1.188925348660625492e-01 -5.384882333451175285e-01 2.564130021133235182e-01 -2.312241770371228355e-01 4.636710748215122635e-02 7.880170130420807162e-01 7.119180832807192605e-01 -8.845514308787039148e-01 -6.278767450475930545e-02 2.489850552656851512e-01 -4.850350728367114339e-01 3.011489934192661533e-01 7.705930944050096709e-01 8.648412817764810079e-01 8.235323081309009474e-02 -1.334289938028032640e-01 8.832637817877064812e-02 -3.238101806449320552e-01 1.612342474808858839e-01 -1.236781758338278969e-01 -7.197531740966480740e-01 -1.834398272941166752e-01 -8.935112882314664162e-01 2.885645373811707159e-02 5.864495860304574926e-01 4.006927140667002618e-01 1.779894407553608282e-01 -9.165591195906619415e-01 1.793864454776112893e-01 -1.902030109197081487e-01 3.053512484488560830e-01 -1.000000000000000000e+00 -4.565624500695064647e-02 1.000000000000000000e+00 8.567379007291475723e-01 1.592700793491683697e-01 3.484478095978498224e-01 -6.537544640264942863e-01 -4.768530199317333462e-01 -8.244703519780853807e-01 -6.813001713148489902e-01 -6.183413637595562840e-01 -3.325100483158081044e-01 2.686139543949264130e-01 1.330365343200390349e-01 5.347142895362801962e-01 -5.834812606001584800e-01 9.272765545534402687e-01 7.424073504985528871e-03 -5.122822201408394616e-01 7.691405969668507758e-01 -6.327820935002044234e-01 7.697158012377034453e-01 -2.959739013352629122e-01 7.614748914891453779e-01 -8.057317610346985681e-01 -9.366245731519051709e-01 -8.446803316774624815e-01 6.618430119258800204e-02 9.491965454687691928e-01 2.466162682688228802e-01 -6.245161966342991366e-01 1.045794506021078263e-01 5.179877214353274528e-01 3.971805046366674308e-01 5.948243670608963640e-01 -8.152987007789214147e-02 -5.435625094153169190e-01 5.302766331899719798e-01 1.000000000000000000e+00 6.716963835179685649e-01 7.828053480767800387e-01 3.604654966525877580e-01 9.931969793106099065e-01 4.530069112596333269e-01 3.315294365189183079e-01 9.396945528776634582e-02 -1.000000000000000000e+00 -9.253950977054807847e-01 2.335664628397027265e-02 8.615716529269603630e-01 6.612749550070273763e-01 1.269062607086295369e-01 -2.926466552866553439e-01 6.731903668845331534e-01 4.364733773239517500e-01 1.180529706499566789e-01
8 5119.24462891 -7.384136408305161936e-01 1.000000000000000000e+00 5.172539993349725140e-01 9.690158353959410498e-02 -2.856460987776443528e-01 -6.396240105272632537e-01 -3.317483310152085085e-01 -2.955758807075270500e-01 -2.383666501475985022e-01 -9.578312377543474199e-02 -8.120117002951174889e-01 -1.657244254539056438e-01 9.417170164954957734e-02 -1.089976571938671146e-01 -5.480633339607381416e-01 2.657785598062685217e-01 -2.217019327029019493e-01 3.948093444247646744e-02 7.975696184922340670e-01 7.211923238639006417e-01 -8.758098201952031481e-01 -6.986075979420780513e-02 2.590141970568500263e-01 -4.935900632400656018e-01 2.909968267099622974e-01 7.796718997398757178e-01 8.567698629248670095e-01 7.222129243010688704e-02 -1.327258212774122814e-01 7.883987521099578011e-02 -3.321712100836065051e-01 1.709628542711900678e-01 -1.135125142604178627e-01 -7.139574503380101689e-01 -1.851092887837717527e-01 -9.029590900896531380e-01 3.766923702409252783e-02 5.963825557272772748e-01 3.907917343689959466e-01 1.877940453303987844e-01 -9.262939485470871315e-01 1.891780338883464196e-01 -1.805399133593024175e-01 3.138361838368251000e-01 -1.000000000000000000e+00 -5.538099239650562389e-02 1.000000000000000000e+00 8.666471040051857422e-01 1.685336628081284260e-01 3.576344145894050364e-01 -6.449798658974006393e-01 -4.757513088652935984e-01 -8.323896486003616868e-01 -6.886743625058964202e-01 -6.184131669037937762e-01 -3.278741224454193581e-01 2.591214015557068429e-01 1.431566737773244391e-01 5.447202060050793104e-01 -5.907291723663299354e-01 9.300672964087188799e-01 1.971996600509839936e-03 -5.218088444851287644e-01 7.723929455966085378e-01 -6.423488913750723395e-01 7.799082243652950552e-01 -3.057628494464990077e-01 7.552691166454525984e-01 -7.960042625182581766e-01 -9.466547719941922345e-01 -8.536471389534729948e-01 7.455283615989127810e-02 9.589316901435471774e-01 2.560419083750240521e-01 -6.154612927619880214e-01 9.550852984415847402e-02 5.134683873723935310e-01 4.066481073441130523e-01 6.045395032014813097e-01 -7.141292319439251912e-02 -5.521501622326854264e-01 5.204918620604830348e-01 1.000000000000000000e+00 6.651762784577786025e-01 7.929273669430210170e-01 3.537322551615680322e-01 1.000000000000000000e+00 4.630573570546925311e-01 3.415173989511239849e-01 1.041626327866433943e-01 -1.000000000000000000e+00 -9.171551858363125032e-01 1.366588099251786481e-02 8.518882041056541343e-01 6.705535932954060918e-01 1.370535305238360646e-01 -2.827550856722449435e-01 6.833147503787910804e-01 4.466010614254141142e-01 1.084171580470194574e-01
9 5118.97998047 -7.484739893785112841e-01 1.000000000000000000e+00 5.082318081680947675e-01 8.741753833209364721e-02 -2.922547651640996502e-01 -6.310022405700188575e-01 -3.416116666544468661e-01 -2.944147676753872123e-01 -2.484137841595823737e-01 -8.559741734625125886e-02 -8.029652779774933968e-01 -1.757283041889114994e-01 8.492717305046615373e-02 -1.005826995215095554e-01 -5.575581936859750343e-01 2.747356980913093771e-01 -2.123772703155308861e-01 3.314796980609102661e-02 8.061937977809789935e-01 7.304472730312714379e-01 -8.677553625903180468e-01 -7.668280568668484065e-02 2.690308516749344570e-01 -5.023785203803921018e-01 2.807603734450105915e-01 7.882936268562816817e-01 8.487785964879921430e-01 6.203691406691480559e-02 -1.291097800063962797e-01 7.025861312913428414e-02 -3.394069122108247516e-01 1.807615319093631712e-01 -1.033925033256477555e-01 -7.095491820800345906e-01 -1.865654616877714389e-01 -9.121650628654700554e-01 4.548095098783955237e-02 6.063502032201628644e-01 3.807799952714603364e-01 1.974488867161805494e-01 -9.360217273916224823e-01 1.988498011305992463e-01 -1.714069180891097943e-01 3.199495388848259125e-01 -1.000000000000000000e+00 -6.470204777154520137e-02 1.000000000000000000e+00 8.766129847791472862e-01 1.772439912976704335e-01 3.668456213980912928e-01 -6.363370871655180672e-01 -4.762236080378365877e-01 -8.396366430137971459e-01 -6.965096072658136794e-01 -6.167429042438938858e-01 -3.222364702047257889e-01 2.497499104066389641e-01 1.530649466621105681e-01 5.548578571207352095e-01 -5.961668016637056144e-01 9.344451509310365278e-01 -4.427065395979923323e-03 -5.308389332674392502e-01 7.767855345733791772e-01 -6.519583875960186514e-01 7.901415875019441870e-01 -3.156099875235196528e-01 7.482619210311742819e-01 -7.861295042076421602e-01 -9.565915889845677533e-01 -8.625070862772721281e-01 8.295311525715032275e-02 9.686502554138518573e-01 2.655778142800919728e-01 -6.061337209228938594e-01 8.775989016743857007e-02 5.077230178970586483e-01 4.155359831692797545e-01 6.141927119787897738e-01 -6.130658966295321477e-02 -5.605534243561509644e-01 5.107077763844090068e-01 1.000000000000000000e+00 6.576082809015988406e-01 8.029998655253245410e-01 3.461279984235907659e-01 1.000000000000000000e+00 4.730399336484492068e-01 3.514873756817686878e-01 1.143915293002246703e-01 -1.000000000000000000e+00 -9.090347030488226121e-01 4.065630010769760716e-03 8.422235149149683853e-01 6.798460105012762433e-01 1.471351765564674619e-01 -2.727231610892271174e-01 6.934633864442145690e-01 4.567387637638116171e-01 9.868518825089833690e-02
